Title,Release Date,Developer,Publisher,Genres,Product Rating,User Score,User Ratings Count
The Starship Damrey,5/16/2013,Level 5,Level 5,Adventure,Rated T For Teen,6.9,16
The Elder Scrolls V: Skyrim - Dawnguard,6/26/2012,Bethesda Game Studios,Bethesda Softworks,Western RPG,Rated M For Mature,7.2,281
The Binding of Isaac: Afterbirth +,3/17/2017,Nicalis,Nicalis,Top-Down Shoot-'Em-Up,Rated M For Mature,8.3,337
Auditorium HD,11/23/2010,Cipher Prime,Zoo Games,Puzzle,Rated E For Everyone,7.1,9
Urban Chaos: Riot Response,6/13/2006,Rocksteady Studios,Eidos Interactive,FPS,Rated M For Mature,8.5,49
Ratchet & Clank: Rift Apart,6/11/2021,Insomniac Games,PlayStation Studios,3D Platformer,Rated E +10 For Everyone +10,8.5,2987
Starcraft II: Heart of the Swarm,3/12/2013,Blizzard Entertainment,Blizzard Entertainment,Command RTS,Rated T For Teen,8,1664
Bionic Commando Rearmed 2,2/2/2011,Fatshark,Capcom,Metroidvania,Rated T For Teen,5.9,16
Strange Horticulture,1/21/2022,Bad Viking,Iceberg Interactive,Adventure,,6.5,28
LOUD,7/15/2022,Hyperstrange,QubicGames,Rhythm,Rated T For Teen,,
Kirby Air Ride,10/13/2003,HAL Labs,Nintendo,Arcade Racing,Rated E For Everyone,8.2,121
Nimble Quest,3/28/2013,NimbleBit,NimbleBit,Arcade,,6,7
Bad Air Day,2/3/2011,GameHouse,GameHouse,Simulation,,,
Sword &amp; Poker 2(WW),5/2/2010,"GAIA CO.,LTD.","GAIA CO.,LTD.",RPG,,,
OlliOlli World: VOID Riders,6/15/2022,roll7,Private Division,2D Platformer,,8,7
The Witch and the Hundred Knight,3/25/2014,Nippon Ichi Software,NIS America,Action RPG,Rated T For Teen,7.1,87
Repulze,1/3/2013,Pixelbite,Pixelbite,Future Racing,,,
Alien Syndrome (2007),7/24/2007,Totally Games,Sega,Action RPG,Rated T For Teen,7.9,10
Evidence: The Last Ritual,10/16/2006,Lexis Numerique,The Adventure Company,Adventure,Rated M For Mature,5.7,6
Fable II,10/21/2008,Lionhead Studios,Microsoft Game Studios,Action RPG,Rated M For Mature,7.9,832
DISTRAINT,10/21/2015,Jesse Makkonen,Jesse Makkonen,Adventure,,7.5,93
InnerSpace,1/16/2018,PolyKnight Games,PolyKnight Games,Aircraft Sim,Rated E For Everyone,7,8
The New York Times Crosswords,5/29/2007,BudCat,Majesco,Logic Puzzle,Rated T For Teen,,
Prince of Persia: The Forgotten Sands,5/18/2010,Ubisoft Montreal,Ubisoft,Linear Action Adventure,Rated T For Teen,7.6,99
Prinny Presents NIS Classics Vol. 2,5/10/2022,Nippon Ichi Software,NIS America,Compilation,Rated T For Teen,,
Lollipop Chainsaw,6/12/2012,Grasshopper Manufacture,Warner Bros. Interactive Entertainment,3D Beat-'Em-Up,Rated M For Mature,7,292
EyePet: Move Edition,9/5/2010,SCEE London Studio,SCEA,Virtual Life,Rated E For Everyone,4.1,41
Combat Command 2: Danger Forward!,12/17/2000,Boku Strategy Games,Shrapnel Games,Turn-Based Strategy,,,
Elemental: War of Magic,8/24/2010,Stardock,Stardock,Turn-Based Strategy,Rated T For Teen,5.9,74
Hitman 3,1/20/2021,Io Interactive,Io Interactive,Action Adventure,Rated M For Mature,7.7,759
World Driver Championship,5/31/1999,Boss Game Studios,Midway,Auto Racing Sim,Rated E For Everyone,8.5,11
Texas Hold 'Em,8/23/2006,TikGames,TikGames,Gambling,Rated T For Teen,5.6,5
Gothic 3: Forsaken Gods,11/20/2008,Trine Games,JoWooD Entertainment AG,Western RPG,Rated T For Teen,3.1,172
Beyond A Steel Sky,7/16/2020,Revolution Software,Revolution Software,Third-Person Adventure,,6.7,37
F.E.A.R. Extraction Point,10/24/2006,TimeGate Studios,Vivendi Games,FPS,Rated M For Mature,7.5,189
King's Bounty: Warriors of the North,10/25/2012,Katauri Interactive,1C Entertainment,Turn-Based Strategy,,6.9,116
Overclocked: A History of Violence,4/7/2008,House of Tales,Lighthouse Interactive,Third-Person Adventure,Rated M For Mature,6.5,18
Inscryption,10/19/2021,Daniel Mullins Games,Devolver Digital,Card Battle,,8.6,418
Burn the Rope,12/20/2010,Big Blue Bubble Inc.,Big Blue Bubble Inc.,Puzzle,,,
Super Bubble Pop,1/3/2003,Runecraft,Jaleco Entertainment,Matching Puzzle,Rated E For Everyone,,
Trapped Dead,2/25/2011,Headup Games,Meridian4,Real-Time Strategy,,4.6,60
Dance Dance Revolution Konamix,4/25/2002,Konami,Konami,Dancing,Rated E For Everyone,,
Larry Ragland 4x4 Challenge,11/30/2001,Xpiral,Xicat Interactive,Auto Racing Sim,Rated E For Everyone,,
Mirror's Edge Catalyst,6/7/2016,EA DICE,Electronic Arts,Action Adventure,Rated T For Teen,5.8,765
Disney TRON: Identity,4/11/2023,Bithell Games,Bithell Games,Visual Novel,,3.3,6
Pokemon Battle Trozei,3/20/2014,Genius Sonority Inc.,Nintendo,Matching Puzzle,Rated E For Everyone,7.3,41
Infinite Warrior,9/6/2012,Empty Flask Games LLC,Empty Flask Games LLC,RPG,,,
Lost Ruins,5/13/2021,Altari Games,DANGEN Entertainment,Metroidvania,,7.2,13
Monster Life,8/2/2012,Gameloft,Gameloft,RPG,,,
Snoopy vs. the Red Baron,10/24/2006,Smart Bomb Interactive,Namco Bandai Games,Action Adventure,Rated E +10 For Everyone +10,8,6
Chrono Trigger,11/25/2008,TOSE,Square Enix,JRPG,Rated E +10 For Everyone +10,9.2,786
Gatling Gears,5/11/2011,Vanguard Games,Electronic Arts,Vertical Shoot-'Em-Up,Rated E +10 For Everyone +10,7.7,23
Thomas Was Alone,4/23/2013,Mike Bithell,Curve Studios,2D Platformer,Rated E For Everyone,6.9,97
Calvino Noir,8/25/2015,Calvino Noir Ltd.,Calvino Noir Ltd.,Action Adventure,Rated T For Teen,7.1,8
Bomberman (2005),6/21/2005,Racjin,Ubisoft,Action Puzzle,Rated E For Everyone,7.4,13
James Bond 007: Agent Under Fire,11/13/2001,EA Redwood Shores,Electronic Arts,FPS,Rated T For Teen,7.5,47
Bionicle,10/20/2003,Argonaut Games,Lego Media,3D Platformer,Rated E For Everyone,6.1,31
Ultimate Ghosts 'n Goblins,8/29/2006,TOSE,Capcom,2D Platformer,Rated E +10 For Everyone +10,8.2,52
Metamorphosis,8/12/2020,Ovid Works,Ovid Works,First-Person Adventure,,7.4,19
Pyre,7/25/2017,Supergiant Games,Supergiant Games,RPG,Rated E +10 For Everyone +10,7.9,185
Sound Shapes,8/7/2012,SCEA,SCEA,Rhythm,Rated E For Everyone,7.8,175
Scarygirl,1/18/2012,TikGames,Square Enix,2D Platformer,Rated E +10 For Everyone +10,7.3,11
Ayo the Clown,7/28/2021,Cloud M1,Cloud M1,2D Platformer,Rated E For Everyone,6.4,7
Rebels: Prison Escape,8/26/2003,Philoslabs,Hip Games,Real-Time Strategy,Rated T For Teen,,
Midnight Club: LA Remix,10/20/2008,Rockstar London,Rockstar Games,Auto Racing,Rated T For Teen,7.8,42
RC Revenge,8/17/2000,Acclaim Studios Cheltenham,Acclaim,Auto Racing,Rated E For Everyone,,
NHL 2004,9/22/2003,EA Black Box,EA Sports,Hockey Sim,Rated E For Everyone,7.3,6
Super Neptunia RPG,6/25/2019,Artisan Studios,Idea Factory,Action RPG,Rated T For Teen,3.9,23
Naruto Shippuden: Clash of Ninja Revolution III,11/17/2009,Eighting,Tomy Corporation,3D Fighting,Rated T For Teen,7.9,24
Okami HD,10/30/2012,HexaDrive,Capcom,Action Adventure,Rated T For Teen,8.9,413
Fate/Extella: The Umbral Star,1/17/2017,Marvelous Inc.,XSEED Games,3D Beat-'Em-Up,Rated T For Teen,7.2,55
Dragon Age II: Legacy,7/26/2011,BioWare,Electronic Arts,Action RPG,Rated M For Mature,5.2,71
RoboCop (2014),1/7/2014,Glu Mobile,Glu Mobile,Vertical Shoot-'Em-Up,,5.3,23
San Francisco Rush 2049,9/6/2000,Midway,Midway,Future Racing,Rated E For Everyone,7.3,10
Grandia Xtreme,9/30/2002,Game Arts,Enix Corporation,JRPG,Rated T For Teen,8,13
Bio Motor Unitron,5/26/2022,SNK Corporation,SNK Corporation,RPG,Rated E For Everyone,,
CellFactor: Psychokinetic Wars,6/3/2009,Immersion Software & Graphics,Ubisoft,FPS,Rated T For Teen,8.3,7
Florence,2/13/2018,Mountains,Annapurna Interactive,Visual Novel,,7.2,92
Heroes and Castles,1/17/2013,Foursaken Media,Foursaken Media,Defense,,6.8,6
ASTRONEER,2/6/2019,System Era Softworks,System Era Softworks,Sandbox,Rated E For Everyone,7.2,232
NASCAR Heat Evolution,9/13/2016,Monster Games Inc.,Dusenberry Martin Racing,Auto Racing Sim,Rated E For Everyone,4.2,28
Crazy Taxi: Fare Wars,8/7/2007,Sega,Sega,Compilation,Rated E +10 For Everyone +10,6.1,11
Wakeboarding HD,3/25/2010,Creat Studios,Creat Studios,Surfing,Rated E For Everyone,5.3,
Gundam Versus,9/29/2017,Bandai Namco Games,Bandai Namco Games,Vehicle Combat Sim,Rated T For Teen,6.4,52
Redfall,5/2/2023,Arkane Studios,Bethesda Softworks,FPS,Rated M For Mature,3.5,1187
Neighbors From Hell,9/22/2003,JoWooD Entertainment AG,Encore Software,Strategy,Rated T For Teen,8.2,103
Hulk,5/27/2003,Radical Entertainment,Universal Interactive,3D Beat-'Em-Up,Rated T For Teen,7.1,14
Star Wars: Super Bombad Racing,4/23/2001,Lucas Learning,Lucas Learning,Arcade Racing,Rated E For Everyone,7,7
Call of Duty: Ghosts,11/15/2013,Infinity Ward,Activision,FPS,Rated M For Mature,4.3,1928
Tap Tap Revenge Tour,7/12/2012,"Tapulous, Inc.","Tapulous, Inc.",Action,,,
Circa Infinity,1/28/2016,Kenny Sun,Kenny Sun,2D Platformer,,6.7,7
Age of Empires III: Definitive Edition,10/15/2020,Tantalus,Xbox Game Studios,Command RTS,Rated T For Teen,7.5,186
Cossacks: The Art of War,3/31/2002,GSC Game World,cdv Software,Command RTS,Rated T For Teen,8.1,70
Agents of Mayhem,8/15/2017,Volition Inc.,Deep Silver,Open-World Action,Rated M For Mature,6.6,165
Surge Deluxe,2/4/2014,FuturLab,FuturLab,Action Puzzle,Rated E For Everyone,7,20
Cabela's Dangerous Hunts 2011,10/19/2010,Activision,Activision,Hunting,Rated T For Teen,6,
Brandish: The Dark Revenant,1/13/2015,Falcom,XSEED Games,Action RPG,Rated T For Teen,8.4,17
The Elder Scrolls V: Skyrim Anniversary Edition,11/11/2021,Bethesda Game Studios,Bethesda Softworks,Western RPG,Rated M For Mature,4.9,118
Phantom Abyss,1/25/2024,Team WIBY,Devolver Digital,Action Adventure,,,
Sunny Garcia Surfing,10/22/2001,Krome Studios,Ubisoft,Surfing,Rated E For Everyone,,
Mega Man Maverick Hunter X,1/31/2006,Capcom,Capcom,2D Platformer,Rated E +10 For Everyone +10,8.5,160
MotoGP 21,4/22/2021,Milestone S.r.l,Milestone S.r.l,Auto Racing Sim,Rated E For Everyone,6.2,18
Soccer Superstars (2010),6/3/2010,GAMEVIL Inc.,GAMEVIL Inc.,Soccer Management,,,
Guitar Hero: Smash Hits,6/16/2009,Beenox,Activision,Rhythm,Rated T For Teen,6.5,11
World of Van Helsing: Deathtrap,2/4/2015,NeocoreGames,NeocoreGames,Strategy,Rated T For Teen,7.7,76
Armikrog,9/30/2015,Pencil Test Studios,Versus Evil,Point-and-Click,,5.2,94
Toy Soldiers: Cold War,8/17/2011,Signal Studios,Microsoft Game Studios,Real-Time Strategy,Rated T For Teen,8.5,128
Front Mission,10/23/2007,Square Enix,Square Enix,Turn-Based Tactics,Rated E +10 For Everyone +10,6.8,13
Quarantine Circular,5/22/2018,Mike Bithell,Mike Bithell,Text Adventure,,6.7,18
Crying Suns,9/18/2019,Alt Shift,Alt Shift,Strategy,,7.6,54
Cracking Sands,1/24/2013,,,Auto Racing,,,
NHL Hitz 20-02,11/14/2001,EA Black Box,Midway,Hockey,Rated E For Everyone,,
Shadows: Awakening,9/4/2018,Kalypso,Kalypso,Western RPG,Rated T For Teen,6,17
Cover Orange,11/16/2010,FDG Entertainment,FDG Entertainment,Edutainment,,6.1,9
Jusant,10/31/2023,DONTNOD Entertainment,DONTNOD Entertainment,Action Adventure,Rated E For Everyone,7.8,61
Spellbreak,9/3/2020,"Proletariat, Inc.","Proletariat, Inc.",Third Person Shooter,Rated T For Teen,8.1,172
MLB 10: The Show,3/2/2010,SCEA,SCEA,Baseball Sim,Rated E For Everyone,6.2,59
The Ripping Friends: The World's Most Manly Men!,3/24/2002,Software Creations,THQ,2D Beat-'Em-Up,Rated E For Everyone,,
Monster Hunter,9/21/2004,Capcom,Capcom,Action RPG,Rated T For Teen,7.5,34
Sang-Froid: Tales of Werewolves,4/5/2013,Artifice Studio,Artifice Studio,Action Adventure,,7.7,116
Iron Warriors: T-72 Tank Command,5/24/2006,,,Vehicle Combat Sim,Rated M For Mature,6.5,8
Zoo Tycoon: Dinosaur Digs,5/19/2002,Blue Fang Games,Microsoft Game Studios,Tycoon,Rated E For Everyone,8.7,9
The Evil Within,10/14/2014,Tango Gameworks,Bethesda Softworks,Survival,Rated M For Mature,8.2,2601
Ultimate Band,11/18/2008,Disney Interactive Studios,Disney Interactive Studios,Rhythm,Rated E +10 For Everyone +10,,
Railway Empire 2,5/25/2023,Gaming Minds Studios,Kalypso,Tycoon,,6.9,13
12 is Better Than 6,3/5/2019,Ink Stains Games,HypeTrain Digital,Top-Down Shoot-'Em-Up,Rated M For Mature,6.8,11
Mobius Final Fantasy,8/3/2016,Square Enix,Square Enix,JRPG,,8.5,63
Ape Escape: On the Loose,3/22/2005,SIMS,SCEA,3D Platformer,Rated E For Everyone,7.1,14
Hyper Light Drifter,3/31/2016,Heart Machine,Heart Machine,Action RPG,Rated T For Teen,8.2,418
"Flower, Sun, and Rain",6/16/2009,h.a.n.d. Inc.,XSEED Games,Third-Person Adventure,Rated T For Teen,8.9,39
Batman: The Enemy Within - The Telltale Series,8/8/2017,Telltale Games,Telltale Games,Point-and-Click,Rated M For Mature,7.8,207
Ultimate Mortal Kombat,11/12/2007,Other Ocean Interactive,Midway,2D Fighting,Rated M For Mature,8.2,25
Cubic Ninja,6/14/2011,AQ Interactive,Ubisoft,Action Puzzle,Rated E For Everyone,5.9,15
Tomb Raider: Definitive Edition,1/28/2014,Nixxes Software,Square Enix,Linear Action Adventure,Rated M For Mature,8.1,2019
Guacamelee! Super Turbo Championship Edition,7/1/2014,DrinkBox Studios,DrinkBox Studios,Metroidvania,Rated E +10 For Everyone +10,7.7,434
Harvest Moon: Another Wonderful Life,7/26/2005,TOSE,Natsume,Tycoon,Rated E For Everyone,5.8,16
Call of Cthulhu: The Wasted Land,1/30/2012,Red Wasp Design,Red Wasp Design,Turn-Based Tactics,,5.5,6
Ninjamurai,7/5/2011,Open Emotion Studios,Open Emotion Studios,Action,Rated T For Teen,4.5,
Nobunaga's Ambition: Sphere of Influence - Ascension,10/25/2016,Koei Tecmo Games,Koei Tecmo Games,Turn-Based Strategy,Rated T For Teen,7.1,14
One Piece Odyssey,1/13/2023,"ILCA, Inc.",Bandai Namco Games,JRPG,Rated T For Teen,6.7,81
PaRappa the Rapper,7/17/2007,Epics,SCEA,Rhythm,Rated E For Everyone,6.2,25
Monster Rancher Advance,11/28/2001,Tecmo,Tecmo,Strategy,Rated E For Everyone,7.3,
Kong: The 8th Wonder of the World,11/21/2005,Ubisoft,Ubisoft,Action Adventure,Rated E +10 For Everyone +10,,
Lightning Returns: Final Fantasy XIII,2/11/2014,Square Enix,Square Enix,JRPG,Rated T For Teen,6.1,706
Marvel's The Invincible Iron Man,12/15/2002,Torus Games,Activision,2D Platformer,Rated E For Everyone,,
Days Gone,4/26/2019,Sony Bend,Sony Interactive Entertainment,Open-World Action,Rated M For Mature,8.4,11156
Fatal Frame: Special Edition,11/22/2002,Tecmo,Tecmo,Survival,Rated T For Teen,8.6,18
Wayward Strand,9/15/2022,Ghost Pattern,Ghost Pattern,Adventure,Rated T For Teen,,
LIMBO,7/21/2010,PLAYDEAD,PLAYDEAD,2D Platformer,Rated T For Teen,8.2,571
Prism: Light the Way,10/17/2007,Game Sauce,Eidos Interactive,Puzzle,Rated E For Everyone,,
A Pixel Story,3/30/2015,Lamplight Studios,Channel 4,2D Platformer,,5.8,6
Splat Renegade Paintball,10/11/2005,Cat Daddy Games,Take-Two Interactive,Individual Sports,Rated T For Teen,,
Gato Roboto,5/30/2019,Doinksoft,Devolver Digital,Metroidvania,Rated E For Everyone,7.5,61
Kena: Bridge of Spirits,9/21/2021,Emberlab,Emberlab,Action Adventure,Rated T For Teen,8.4,1405
SIMULACRA,12/3/2019,Kaigan Games,Wales Interactive,Virtual Life,Rated M For Mature,6.2,5
Legends of Wrestling II,11/26/2002,Acclaim Studios Salt Lake City,Acclaim,Wrestling,Rated T For Teen,5.8,
Animal Crossing: Wild World,12/5/2005,Nintendo,Nintendo,Virtual Life,Rated E For Everyone,8.1,199
Breath of Fire,12/13/2001,Capcom,Capcom,JRPG,Rated E For Everyone,7.4,33
Shadow Complex Remastered,3/16/2016,Chair Entertainment,Epic Games,Metroidvania,Rated T For Teen,5.9,16
Devil May Cry 4 refrain,2/3/2011,Capcom,Capcom,Action Adventure,,6.3,12
The Lost Child,6/19/2018,Kadokawa,NIS America,JRPG,Rated T For Teen,5.1,10
Pokemon Emerald Version,4/30/2005,Game Freak,Nintendo,Trainer RPG,Rated E For Everyone,8.8,928
Universal Studios Theme Parks Adventure,12/18/2001,Nai'a Digital Works,Kemco,Third-Person Adventure,Rated T For Teen,3.3,8
Final Fight: Double Impact,4/14/2010,Proper Games Ltd,Capcom,Compilation,Rated T For Teen,8.1,9
Hexic HD,11/22/2005,Carbonated Games,Microsoft Game Studios,Puzzle,Rated E For Everyone,6.9,57
Future Tactics: The Uprising,5/10/2004,Warthog,Crave,Turn-Based Strategy,Rated T For Teen,6,6
Legend of Keepers: Career of a Dungeon Manager,4/29/2021,Goblinz Studio,Goblinz Studio,Turn-Based Tactics,,6.9,14
1000 Tiny Claws,10/4/2011,Mediatonic,Mediatonic,Action,Rated E +10 For Everyone +10,7.2,11
Stories: The Path of Destinies,4/12/2016,Spearhead Games,Spearhead Games,Action RPG,Rated T For Teen,7.4,147
Cities: Skylines - Snowfall,2/18/2016,Colossal Order,Paradox Interactive,Management,Rated E For Everyone,6.7,31
Warhammer: Mark of Chaos - Battle March,9/2/2008,Black Hole Games,Namco Bandai Games,Real-Time Strategy,Rated M For Mature,7.1,23
Paradigm Paradox,10/27/2022,Idea Factory,Aksys Games,Visual Novel,Rated T For Teen,,
GhostWire: Tokyo,3/22/2022,Tango Gameworks,Bethesda Softworks,Action Adventure,Rated T For Teen,8.4,1733
Band of Bugs,6/20/2007,NinjaBee,NinjaBee,Turn-Based Tactics,Rated E For Everyone,3.3,7
Donkey Kong,6/2/2004,Nintendo,Nintendo,2D Platformer,Rated E For Everyone,7.3,6
The Falconeer: Warrior Edition,8/5/2021,Tomas Sala,Wired Productions,Aircraft Combat Sim,Rated T For Teen,,
DEVICE 6,10/17/2013,Simogo,Simogo,Text Adventure,,7.2,92
Strobophagia | Rave Horror,10/28/2020,Green Tile Digital,Green Tile Digital,Survival,,,
Mario & Luigi: Superstar Saga,11/17/2003,Alphadream Corporation,Nintendo,JRPG,Rated E For Everyone,8.6,253
Crimson Gem Saga,5/26/2009,"IronNos Co.,Ltd.",Atlus,JRPG,Rated T For Teen,7.1,21
DmC: Devil May Cry,1/15/2013,Ninja Theory,Capcom,Linear Action Adventure,Rated M For Mature,5.5,1576
Crackdown 2,7/6/2010,Ruffian Games,Microsoft Game Studios,Open-World Action,Rated M For Mature,5.9,159
Football Manager 2019,11/2/2018,Sports Interactive,Sega,Soccer Management,Rated E For Everyone,7.1,145
Station to Station,10/3/2023,Galaxy Grove,Prismatika,Tycoon,,6.5,13
Fable: The Journey,10/9/2012,Lionhead Studios,Microsoft Game Studios,Action RPG,Rated T For Teen,4.9,93
Colosseum: Road to Freedom,7/20/2005,Goshow,Koei,Action RPG,Rated M For Mature,8,15
The Walking Dead: A Telltale Games Series,4/24/2012,Telltale Games,Telltale Games,Point-and-Click,,8.8,3655
Chaos;Head Noah / Chaos;Child Double Pack,10/7/2022,Mages.,Spike Chunsoft,Compilation,Rated M For Mature,9,
Battlefield 1942,9/10/2002,Digital Illusions,EA Games,FPS,Rated T For Teen,8.4,478
Snake Pass,3/28/2017,Sumo Digital,Sumo Digital,Action Puzzle,Rated E For Everyone,6.6,54
One Must Fall: Battlegrounds,12/19/2003,Diversions Entertainment,Diversions Entertainment,3D Fighting,Rated T For Teen,,
Fire Emblem: Three Houses - Side Story: Cindered Shadows,2/13/2020,Intelligent Systems,Nintendo,Turn-Based Tactics,Rated T For Teen,8.1,69
Archvale,12/2/2021,idoz & phops,Humble Games,Top-Down Shoot-'Em-Up,,7.2,26
Tropico 6,3/29/2019,Limbic Entertainment,Kalypso,Management,Rated T For Teen,6.6,190
Mega Man X Legacy Collection 1 + 2,7/24/2018,Capcom,Capcom,Compilation,Rated T For Teen,7.7,96
Call of Duty: Advanced Warfare - Reckoning,8/4/2015,Sledgehammer Games,Activision,FPS,,4.9,15
Star Wars: Commander,8/20/2014,"Playdom, Inc.",Disney Interactive Studios,Command RTS,,5.9,18
Lethal League,8/27/2014,Team Reptile,Team Reptile,2D Fighting,,7.6,62
Ultimate NES Remix,12/5/2014,indieszero,Nintendo,Miscellaneous,Rated E For Everyone,7.4,47
Shellrazer,7/26/2012,Slick Entertainment Inc.,Slick Entertainment Inc.,Action,,,
Naruto: Uzumaki Chronicles 2,9/4/2007,Racjin,Namco Bandai Games,Action,Rated T For Teen,6.6,23
ToeJam & Earl III: Mission to Earth,10/23/2002,ToeJam & Earl Productions,Sega,Action Adventure,Rated T For Teen,6.6,8
Caylus,1/16/2012,Big Daddy's Creations,Big Daddy's Creations,Board,,,
Racquet Sports,9/14/2010,Asobo Studio,Ubisoft,Individual Sports,Rated E For Everyone,4.3,8
Siren,4/20/2004,SCE Japan Studio,SCEA,Survival,Rated M For Mature,8.3,47
Steep,11/29/2016,Ubisoft Annecy,Ubisoft,Skiing,Rated T For Teen,6.4,316
Kinect Party,12/17/2012,Double Fine Productions,Microsoft Game Studios,Party,Rated E For Everyone,6.6,21
Smart Bomb,5/10/2005,Core Design Ltd.,Eidos Interactive,Puzzle,Rated E +10 For Everyone +10,,
Orgarhythm,10/23/2012,Neilo,XSEED Games,Rhythm,Rated E +10 For Everyone +10,6.8,11
Paper Mario: The Thousand-Year Door (2004),10/11/2004,Intelligent Systems,Nintendo,JRPG,Rated E For Everyone,9,650
Immortal Cities: Children of the Nile,11/8/2004,Tilted Mill,Myelin Media,Management,Rated E For Everyone,7.1,30
EDGE Extended,8/25/2011,Mobigame,Mobigame,Action,,7.1,16
Dark Summit,11/12/2001,Radical Entertainment,THQ,Skiing,Rated T For Teen,,
NASCAR Heat 3,9/7/2018,Monster Games Inc.,704Games,Auto Racing Sim,Rated E +10 For Everyone +10,5.3,18
Madden NFL 13,8/28/2012,EA Tiburon,EA Sports,Football Sim,Rated E For Everyone,5.8,189
Claire: Extended Cut,9/6/2016,Hailstorm Games,Hailstorm Games,Adventure,Rated M For Mature,6,6
Prey (2006),7/11/2006,Venom Games,2K Games,FPS,Rated M For Mature,7.5,113
Spartan (2004),5/28/2004,Slitherine,Graphsim Entertainment,Turn-Based Strategy,Rated T For Teen,7.4,19
Star Ocean: The Second Story R,11/2/2023,Gemdrops,Square Enix,JRPG,Rated T For Teen,8.6,84
BlazBlue: Continuum Shift,7/27/2010,Arc System Works,Aksys Games,2D Fighting,Rated T For Teen,8.4,28
N.E.R.O.: Nothing Ever Remains Obscure,5/15/2015,Storm in a Teacup,Storm in a Teacup,First-Person Adventure,Rated E For Everyone,7.5,62
Doctor Who: The Edge Of Time,11/12/2019,Maze Theory,Playstack,First-Person Adventure,Rated E For Everyone,6.8,11
HyperParasite,4/3/2020,"Troglobytes Games, S.L.",HoundPicked Games,Top-Down Shoot-'Em-Up,Rated M For Mature,7.7,7
Metal Gear Solid HD Edition,6/12/2012,Armature Studio,Konami,Compilation,Rated M For Mature,8.5,272
Murderous Pursuits,4/20/2018,Blazing Griffin,Blazing Griffin,Survival,,6.3,12
The Sopranos: Road to Respect,11/7/2006,7 Studios,THQ,Action Adventure,Rated M For Mature,6.4,21
