title,releasedate,developer,publisher,genres,productrating,userscore,userratingscount,id
Ultra Street Fighter IV,2014-06-03,Capcom,Capcom,2D Fighting,Rated T For Teen,7.1,101,9314
NEO Scavenger,2012-09-05,Blue Bottle Games,Blue Bottle Games,Turn-Based Strategy,,7.5,67,9315
American Idol,2003-11-11,Hothouse Creations,Codemasters,Rhythm,Rated E For Everyone,,,9316
Yakuza 3 Remastered,2020-02-11,Ryu ga Gotoku Studios,Sega,Open-World Action,Rated M For Mature,7.3,139,9317
Kinect Nat Geo TV,2012-09-18,Relentless Software,Microsoft Game Studios,Edutainment,Rated E +10 For Everyone +10,7.8,6,9318
World End Syndrome,2019-05-02,TOYBOX,Arc System Works,Visual Novel,Rated M For Mature,8.1,30,9319
Mysterious Journey II,2003-11-25,Detalion,The Adventure Company,First-Person Adventure,Rated E For Everyone,5.8,,9320
Dungeons & Dragons: Chronicles of Mystara,2013-06-19,Iron Galaxy Studios,Capcom,Compilation,Rated T For Teen,5.9,21,9321
Little League World Series Baseball 2008,2008-08-05,Now Production,Activision,Baseball,Rated E For Everyone,,,9322
Ecks vs. Sever,2001-11-27,Crawfish Interactive,Bam Entertainment,FPS,Rated T For Teen,7,,9323
The Haunted: Hell's Reach,2011-10-24,ValuSoft,THQ,Survival,Rated M For Mature,7.5,49,9324
Bakugan: Defenders of the Core,2010-10-26,Now Production,Activision,Action,Rated E +10 For Everyone +10,8,,9325
Halo 2 Multiplayer Map Pack,2005-07-05,Bungie,Microsoft Game Studios,FPS,Rated M For Mature,9.8,24,9326
ShellShock: Nam '67,2004-09-14,Guerrilla,Eidos Interactive,Third Person Shooter,Rated M For Mature,7.6,12,9327
Interpol: The Trail of Dr. Chaos,2009-01-07,TikGames,Microsoft Game Studios,Hidden Object,Rated E For Everyone,,,9328
KarmaZoo,2023-11-14,Pastagames,Devolver Digital,2D Platformer,Rated E For Everyone,,,9329
My Pokemon Ranch,2008-06-09,Ambrella,Nintendo,Virtual Life,Rated E For Everyone,5,31,9330
Ju-on: The Grudge,2009-10-13,FeelPlus,XSEED Games,Survival,Rated M For Mature,5.2,25,9331
Sonic Heroes,2004-01-05,Sonic Team,Sega,3D Platformer,Rated E For Everyone,7.8,305,9332
Short Peace: Ranko Tsukigime's Longest Day,2014-09-30,Crispy's,Bandai Namco Games,2D Platformer,Rated M For Mature,6.1,18,9333
Black & White,2001-03-26,Lionhead Studios,EA Games,Real-Time Strategy,Rated T For Teen,7.8,379,9334
NCAA GameBreaker 2004,2003-08-27,989 Sports,SCEA,Football Sim,Rated E For Everyone,,,9335
Teenage Mutant Ninja Turtles: Turtles in Time Re-Shelled,2009-08-05,Ubisoft Singapore,Ubisoft,2D Beat-'Em-Up,Rated E +10 For Everyone +10,6.3,29,9336
Scurvy Scallywags,2013-06-06,"Beep Games, Inc.","Beep Games, Inc.",RPG,,6.7,10,9337
GrimGrimoire OnceMore,2023-04-04,Vanillaware,NIS America,Command RTS,Rated T For Teen,8.4,5,9338
Warlords Battlecry,2000-07-09,Strategic Studies Group,SSI,Strategy,Rated T For Teen,7.2,19,9339
Isonzo,2022-09-13,M2H &amp; BlackMill Games,M2H,Tactical FPS,Rated M For Mature,6.5,10,9340
Destruction Derby Raw,2000-09-26,Studio 33,Midway,Auto Racing,Rated E For Everyone,7.1,18,9341
MLB 2K13,2013-03-05,Visual Concepts,2K Games,Baseball Sim,Rated E For Everyone,3.6,43,9342
Moss: Book II,2022-03-31,Polyarc,Polyarc,Action Adventure,Rated E +10 For Everyone +10,7.6,39,9343
The Talos Principle: Road To Gehenna,2015-07-23,Croteam,Devolver Digital,First-Person Adventure,,8.2,80,9344
Silence: The Whispered World 2,2016-11-15,Daedalic Entertainment,Daedalic Entertainment,Adventure,,7.5,97,9345
Train Sim World,2018-07-24,Dovetail Games,Dovetail Games,Compilation,Rated E For Everyone,6.1,16,9346
One Epic Knight,2012-08-23,Simutronics Corp,Simutronics Corp,Action,,,,9347
Stories Untold,2017-02-27,No Code,Devolver Digital,Text Adventure,,7,93,9348
Harry Potter and the Order of the Phoenix,2007-06-25,EA Games,EA Games,Action Adventure,Rated E +10 For Everyone +10,4.7,27,9349
Calculords,2014-02-21,,,Action,,,,9350
Sam & Max Save the World Remastered,2020-12-02,Skunkape Games,Skunkape Games,Point-and-Click,Rated T For Teen,4.6,21,9351
Moonglow Bay,2021-10-26,Bunnyhug,Coatsink Software,Tycoon,Rated E For Everyone,,,9352
Jazz and Faust,2002-06-13,Saturn+,1C Entertainment,First-Person Adventure,Rated T For Teen,,,9353
Crossroads Inn,2019-10-23,Kraken Unleashed,Klabater,Tycoon,,6.4,20,9354
GT Advance Championship Racing,2001-06-08,MTO,THQ,Auto Racing Sim,Rated E For Everyone,7.8,5,9355
Kingdom Two Crowns,2018-12-11,Coatsink Software,Raw Fury,Action Adventure,Rated E +10 For Everyone +10,7.5,49,9356
WarioWare: Touched!,2005-02-14,Intelligent Systems,Nintendo,Party,Rated E For Everyone,7.9,64,9357
Greyhill Incident,2023-06-09,Refugium Games,Refugium Games,Survival,,0.9,9,9358
LocoCycle,2013-11-22,Twisted Pixel Games,Microsoft Game Studios,Auto Racing,Rated T For Teen,4,100,9359
Super Dragon Ball Heroes: World Mission,2019-04-05,Safari Games,Bandai Namco Games,Card Battle,Rated T For Teen,7.5,44,9360
Touhou Spell Bubble,2020-10-29,Taito Corporation,Taito Corporation,Matching Puzzle,Rated E For Everyone,7.6,5,9361
Star Wars: Battlefront II (2005),2005-11-01,Pandemic Studios,LucasArts,FPS,Rated T For Teen,8.9,156,9362
Wonderbook: Diggs Nightcrawler,2013-11-12,Exient Entertainment,SCEA,Miscellaneous,Rated E +10 For Everyone +10,,,9363
Divinity: Original Sin II,2017-09-14,Larian Studios Games,Larian Studios Games,Western RPG,,8.8,2671,9364
Azkend 2: The World Beneath,2018-01-12,10tons,10tons,Matching Puzzle,Rated E For Everyone,,,9365
Cargo! The Quest for Gravity,2011-04-21,Ice-Pick Lodge,bitComposer,Action Adventure,Rated T For Teen,6.5,33,9366
Nexomon: Extinction,2020-08-28,VEWO Interactive Inc.,PQube,Trainer RPG,Rated E +10 For Everyone +10,8.2,91,9367
American Truck Simulator,2016-02-02,SCS Software,Excalibur Publishing,Vehicle Sim,Rated E For Everyone,7.4,331,9368
Dragon's Dogma: Dark Arisen,2016-01-15,QLOC,Capcom,Action RPG,Rated M For Mature,8,667,9369
Langrisser Re:Incarnation -TENSEI-,2016-04-19,"extreme Co.,Ltd.",Aksys Games,Turn-Based Tactics,Rated T For Teen,4.2,20,9370
The Binding of Isaac,2011-09-28,Edmund McMillen,Edmund McMillen,Top-Down Shoot-'Em-Up,,8.3,1138,9371
Zumba Fitness Rush,2012-02-13,Zoe Mode,Majesco,Exercise,Rated E +10 For Everyone +10,6.2,5,9372
Resident Evil: Revelations 2,2015-03-17,Capcom,Capcom,Survival,Rated M For Mature,7.7,600,9373
Crash Drive 3,2021-07-08,M2H,M2H,Auto Racing,Rated E For Everyone,7,,9374
CrimeCraft,2009-08-25,Vogster,Vogster,Third Person Shooter,Rated M For Mature,5.8,16,9375
Super Swing Golf Season 2,2007-12-11,Tecmo,Tecmo,Golf,Rated E +10 For Everyone +10,,,9376
Space Ark (2010),2010-06-16,Strawdog Studios,Strawdog Studios,Action,Rated E For Everyone,,,9377
A Kingdom for Keflings,2008-11-19,NinjaBee,NinjaBee,Strategy,Rated E For Everyone,6.8,30,9378
Tales of Arise: Beyond the Dawn,2023-11-09,Bandai Namco Games,Bandai Namco Games,JRPG,Rated T For Teen,7.5,15,9379
Boyfriend Dungeon,2021-08-11,Kitfox Games,Kitfox Games,Action RPG,Rated T For Teen,6.5,12,9380
Madballs in Babo: Invasion,2009-07-15,Playbrains,Playbrains,Action,Rated E +10 For Everyone +10,5.6,5,9381
The Swindle,2015-07-28,Size Five Games,Curve Digital,3D Platformer,,5.4,22,9382
Crusader Kings III,2020-09-01,Paradox Interactive,Paradox Interactive,Real-Time Strategy,Rated M For Mature,8.3,780,9383
Assassin's Creed III Remastered,2019-03-29,Ubisoft,Ubisoft,Open-World Action,Rated M For Mature,5.3,240,9384
911 Operator,2017-02-24,Jutsu Games,PlayWay,Strategy,,6.7,71,9385
Marine Park Empire,2005-09-22,Enlight Software,Enlight Software,Tycoon,Rated E For Everyone,7.8,6,9386
Lady Sia,2001-10-15,RFX Interactive,TDK Mediactive,2D Platformer,Rated E For Everyone,7.8,12,9387
NBA 2K10: Draft Combine,2009-08-26,Visual Concepts,2K Games,Basketball Sim,Rated E For Everyone,,,9388
Sam & Max: Beyond Time and Space Remastered,2021-12-08,Skunkape Games,Skunkape Games,Point-and-Click,Rated T For Teen,9.2,5,9389
The Thin Silence,2018-04-27,TwoPM Studios,Nkidu Games Inc.,Adventure,,7,5,9390
Super Mario Party,2018-10-05,Nd Cube,Nintendo,Party,Rated E For Everyone,7,691,9391
Warriors of Might and Magic,2001-03-21,3DO,3DO,Action RPG,Rated T For Teen,5.1,7,9392
Crash Bandicoot 4: It's About Time,2020-10-02,Toys for Bob,Activision,3D Platformer,Rated E +10 For Everyone +10,8,930,9393
The Metronomicon: Slay the Dance Floor,2016-09-29,Puuba,Kasedo Games,Rhythm,Rated T For Teen,7.2,21,9394
Fighting Fantasy: The Warlock of Firetop Mountain,2009-11-23,Big Blue Bubble Inc.,Aspyr,RPG,Rated T For Teen,7.6,11,9395
Riptide GP2,2013-07-25,Vector Unit,Vector Unit,Arcade Racing,,7,8,9396
Overlord,2007-06-26,Triumph Studios,Codemasters,Action Adventure,Rated T For Teen,7.9,51,9397
Spore Creatures,2008-09-07,Griptonite Games,EA Games,Strategy,Rated E For Everyone,6,14,9398
Neuroshima Hex,2010-09-17,Big Daddy's Creations,Big Daddy's Creations,Board,,6.7,10,9399
Jurassic World Evolution: Complete Edition,2020-11-03,Frontier Developments,Frontier Developments,Tycoon,,7.5,31,9400
Hasbro Family Game Night 2,2009-10-26,Electronic Arts,Electronic Arts,Party,Rated E For Everyone,,,9401
"Football, Tactics & Glory",2018-06-01,CREOTEAM,CREOTEAM,Soccer Management,,7.4,17,9402
Saint Seiya: Sanctuary Battle,2011-11-23,Dimps Corporation,Bandai Namco Games,3D Beat-'Em-Up,,7.9,47,9403
Cooking Mama 5: Bon Appetit!,2014-09-16,Cooking Mama Limited,Majesco,Virtual Career,Rated E For Everyone,8.2,11,9404
Infernax,2022-02-14,Berzerk Studio,The Arcade Crew,Metroidvania,Rated M For Mature,7.6,29,9405
UFO Robot Grendizer: The Feast of the Wolves,2023-11-14,ENDROAD,Microids,Action Adventure,Rated T For Teen,7.5,19,9406
Ash of Gods: Redemption,2018-03-23,AurumDust,AurumDust,Turn-Based Tactics,Rated M For Mature,7.9,105,9407
Diablo III: Rise of the Necromancer,2017-06-27,Blizzard Entertainment,Blizzard Entertainment,Action RPG,Rated M For Mature,4.4,209,9408
Disney's Stitch: Experiment 626,2002-06-19,High Voltage Software,SCEA,Action Adventure,Rated E For Everyone,6.9,8,9409
Kid Icarus,2012-03-23,Arika,Nintendo,2D Platformer,Rated E For Everyone,7.3,53,9410
Combat: Task Force 121,2005-03-27,Direct Action Games,Groove Games,Tactical FPS,Rated M For Mature,,,9411
Mass Effect 2: Overlord,2010-06-15,BioWare,EA Games,Action RPG,Rated M For Mature,7.7,95,9412
Amazons & Aliens,2000-09-30,JoWooD Entertainment AG,Simon & Schuster,Strategy,Rated T For Teen,3.4,5,9413
Naruto Shippuden: Ultimate Ninja Storm Revolution,2014-09-16,CyberConnect2,Bandai Namco Games,3D Fighting,Rated T For Teen,7.2,161,9414
Sketch Nation Shooter,2010-03-25,VGViews Inc.,VGViews Inc.,Action,,,,9415
DreamWorks Monsters vs. Aliens,2009-03-24,Beenox,Activision,Action Adventure,Rated E +10 For Everyone +10,6.1,7,9416
Evil Islands: Curse of the Lost Soul,2001-04-17,Nival Interactive,Fishtank Interactive,RPG,Rated T For Teen,8.3,75,9417
Gran Turismo 5,2010-11-24,Polyphony Digital,SCEA,Auto Racing Sim,Rated E For Everyone,7.8,1370,9418
Disney's Lilo & Stitch (2002),2002-06-07,Digital Eclipse,Disney Interactive,2D Platformer,Rated E For Everyone,6,7,9419
Sniper: Ghost Warrior,2010-06-29,City Interactive,City Interactive,Tactical FPS,Rated M For Mature,4.9,67,9420
Ragnarock,2023-02-22,WanadevStudio,WanadevStudio,Rhythm,Rated M For Mature,,,9421
Cadence of Hyrule: Crypt of the NecroDancer Featuring The Legend of Zelda,2019-06-13,Brace Yourself Games,Nintendo,Rhythm,Rated E For Everyone,7.9,318,9422
WRC: FIA World Rally Championship,2011-04-14,Milestone S.r.l,CyberFront,Auto Racing Sim,,4.8,5,9423
DK: Jungle Climber,2007-09-10,Paon Corporation,Nintendo,Action,Rated E For Everyone,6.6,16,9424
MotoGP '06,2006-06-12,Climax Studios,THQ,Auto Racing Sim,Rated E For Everyone,4.4,5,9425
Into the Dead,2012-12-06,PikPok,PikPok,FPS,,6.9,24,9426
OlliOlli: Switch Stance,2019-02-14,Gambitious,Gambitious,Compilation,,7.3,18,9427
Okamiden,2011-03-10,Capcom,Capcom,Action Adventure,Rated E +10 For Everyone +10,8.2,74,9428
Halo Wars 2,2017-02-17,Creative Assembly,Microsoft Game Studios,Real-Time Strategy,Rated T For Teen,6.5,622,9429
Revenge of the Wounded Dragons,2009-12-10,Wanako Studios,SCEA,2D Beat-'Em-Up,Rated T For Teen,,,9430
Aaru's Awakening,2015-02-23,Lumenox ehf,Lumenox ehf,2D Platformer,Rated E For Everyone,2.8,116,9431
Mage Knight: Destiny's Soldier,2006-09-26,Big Blue Bubble Inc.,Namco Bandai Games,Turn-Based Strategy,Rated E +10 For Everyone +10,,,9432
The Deadly Tower of Monsters,2016-01-19,ACE Team,Atlus,Linear Action Adventure,Rated T For Teen,7.1,100,9433
Color Guardians,2015-05-12,Fair Play Labs,Fair Play Labs,3D Platformer,Rated E For Everyone,6.2,59,9434
Championship Surfer,2000-12-11,Krome Studios,Mattel,Surfing,Rated E For Everyone,7.8,,9435
The Mummy Demastered,2017-10-24,WayForward,WayForward,2D Platformer,Rated E +10 For Everyone +10,7.2,40,9436
DREDGE: The Pale Reach,2023-11-16,Black Salt Games,Team17,Action Adventure,,,,9437
Volgarr the Viking,2013-09-13,Crazy Viking Studios,Adult Swim,Action,,7.8,106,9438
Little Red Riding Hood's Zombie BBQ,2008-11-06,EnjoyUp Games,Destineer,Rail Shooter,Rated T For Teen,7.5,,9439
Civilization III: Conquests,2003-11-04,Firaxis Games,Atari SA,4X Strategy,Rated E For Everyone,7.6,36,9440
Remothered: Broken Porcelain,2020-10-13,Stormind Games,Modus Games,Survival,Rated M For Mature,6.6,45,9441
FlingSmash,2010-11-07,Artoon,Nintendo,Action,Rated E For Everyone,7.2,27,9442
Indianapolis 500 Legends,2007-12-14,Torus Games,Destineer,Auto Racing Sim,Rated E For Everyone,,,9443
Borderlands 2: Mr. Torgue's Campaign of Carnage,2012-11-20,Gearbox Software,2K Games,FPS,Rated M For Mature,8.1,67,9444
Kaptain Brawe: A Brawe New World,2011-12-15,G5 Entertainment,G5 Entertainment,Point-and-Click,,,,9445
Wii Sports Resort,2009-07-26,Nintendo,Nintendo,Athletics,Rated E For Everyone,8.4,334,9446
Uno Rush,2009-03-25,Carbonated Games,Microsoft Game Studios,Board,Rated E For Everyone,,,9447
Smash T.V.,2005-11-24,Digital Eclipse,Midway,Top-Down Shoot-'Em-Up,Rated T For Teen,8.2,12,9448
ProStroke Golf - World Tour 2007,2007-03-08,Gusto Games,Oxygen Interactive,Golf Sim,Rated E For Everyone,,,9449
NHL Rivals 2004,2003-11-18,Microsoft Game Studios,Microsoft Game Studios,Hockey Sim,Rated E For Everyone,,,9450
ChoroQ,2004-11-17,Barnhouse Effect,Atlus,Arcade Racing,Rated E For Everyone,7.5,8,9451
Shadowgrounds Survivor,2007-11-14,"Frozenbyte, Inc.",GamersGate,Third Person Shooter,Rated M For Mature,7.1,39,9452
Sega GT 2002,2002-09-02,Wow Entertainment,Sega,Auto Racing Sim,Rated E For Everyone,7.5,18,9453
FunTown Mahjong,2009-01-28,FunTown World Limited,Microsoft Game Studios,Board,Rated E For Everyone,,,9454
ESPN NBA 2Night,2001-02-13,Konami,Konami,Basketball Sim,Rated E For Everyone,,,9455
Naruto Shippuden: Ultimate Ninja Impact,2011-10-18,Racjin,Namco Bandai Games,3D Beat-'Em-Up,Rated T For Teen,7.5,56,9456
Unreal Tournament 2004,2004-03-16,Epic Games,Atari SA,FPS,Rated M For Mature,8.7,702,9457
Gravitar: Recharged,2022-06-02,SneakyBox,Atari,Arcade,Rated E For Everyone,,,9458
Monster Kingdom: Jewel Summoner,2007-02-19,Gaia (Sony),Atlus,RPG,Rated T For Teen,6.8,,9459
Crackdown,2007-02-20,Realtime Worlds,Microsoft Game Studios,Open-World Action,Rated M For Mature,7.2,243,9460
Spyro: Attack of the Rhynocs,2003-10-27,Digital Eclipse,Universal Interactive,2D Platformer,Rated E For Everyone,6.3,19,9461
Worldless,2023-11-20,Noname Studios,Coatsink Software,Metroidvania,,,,9462
SpongeBob SquarePants: The Cosmic Shake,2023-01-31,Purple Lamp Studios,THQ Nordic,3D Platformer,Rated E +10 For Everyone +10,8.3,50,9463
X: Beyond the Frontier,2000-01-26,Egosoft,THQ,Space Combat Sim,Rated T For Teen,7.4,29,9464
Final Fantasy X-2,2003-11-18,SquareSoft,Square Enix,JRPG,Rated T For Teen,7.3,515,9465
Call of Duty: Infinite Warfare - Sabotage,2017-01-31,Infinity Ward,Activision,Tactical FPS,,1.7,38,9466
What Happened,2020-07-30,Genius Slackers,KATNAPPE SP. Z O. O.,First-Person Adventure,,7.1,242,9467
Marvel's Iron Man VR,2020-07-03,"Camouflaj, LLC",Sony Interactive Entertainment,Aircraft Combat Sim,Rated T For Teen,6.2,172,9468
WipEout 2048,2012-02-15,Studio Liverpool,SCEA,Future Racing,Rated E +10 For Everyone +10,8.1,214,9469
NBA Ballers: Rebound,2006-05-09,Backbone Entertainment,Midway,Basketball,Rated E For Everyone,,,9470
Unrailed!,2020-09-23,Indoor Astronaut,Daedalic Entertainment,Strategy,,7.5,25,9471
Rez Infinite,2016-10-13,Monstars Inc.,Enhance Games,Rail Shooter,Rated E +10 For Everyone +10,7.4,218,9472
Spider Jack,2011-05-05,Clickgamer.com,Clickgamer.com,Arcade,,,,9473
Summon Night: Twin Age,2008-06-03,Flight-Plan,Atlus,Action RPG,Rated E +10 For Everyone +10,6.5,6,9474
Raven's Cry,2015-01-30,Reality Pump,TopWare Interactive,Open-World Action,,3.4,129,9475
Pitfall!,2012-08-09,Activision,Activision,Adventure,,5.4,7,9476
Mother Russia Bleeds,2016-09-05,Le Cartel Studio,Devolver Digital,2D Beat-'Em-Up,,6.9,119,9477
Manic Mechanics,2023-07-13,4J Studios,4J Studios,Party,Rated E For Everyone,,,9478
Slain!,2016-03-24,Wolf Brew Games,Digerati Distribution,2D Platformer,,5.3,38,9479
King of Fighters: Maximum Impact,2004-10-12,SNK Playmore,SNK Playmore,3D Fighting,Rated T For Teen,7.4,12,9480
Wilson's Heart,2017-04-21,Twisted Pixel Games,Oculus Studios,Adventure,,7.8,19,9481
Zombieland: Headshot Fever Reloaded,2023-02-22,XR Games,XR Games,Light Gun,Rated M For Mature,,,9482
Uncharted: Fight for Fortune,2012-12-04,Sony Bend,SCEA,Card Battle,Rated T For Teen,6,71,9483
Spare Parts,2011-01-19,EA Bright Light,Electronic Arts,3D Platformer,Rated E +10 For Everyone +10,,,9484
Dragon's Dogma,2012-05-22,Capcom,Capcom,Action RPG,Rated M For Mature,7.9,353,9485
NFL 2K2,2002-01-09,Visual Concepts,Sega,Football Sim,Rated E For Everyone,6.8,6,9486
Total War: WARHAMMER II,2017-09-28,Creative Assembly,Sega,Real-Time Tactics,Rated T For Teen,7.9,624,9487
Yakuza 2,2008-09-09,Amusement Vision,Sega,Open-World Action,Rated M For Mature,8.7,98,9488
Party Animals,2023-09-20,Recreate Games,Source Technology,Party,Rated E For Everyone,8,94,9489
The Longest Road on Earth,2021-05-27,Brainwash Gang,Raw Fury,Adventure,,5.9,10,9490
Arena Wars,2004-09-13,Ascaron Entertainment,Tri Synergy,Real-Time Strategy,Rated T For Teen,7.2,5,9491
DreamWorks Over the Hedge (2006),2006-05-05,Vicarious Visions,Activision,2D Platformer,Rated E For Everyone,,,9492
Alekhine's Gun,2016-03-11,Maximum Games,KISS Ltd.,Action Adventure,,4.7,53,9493
Spy Chameleon,2015-05-22,Unfinished Pixel,Unfinished Pixel,Action Puzzle,Rated E For Everyone,6.4,12,9494
Majin and the Forsaken Kingdom,2010-11-23,Game Republic,Namco Bandai Games,Action Adventure,Rated T For Teen,7.9,48,9495
The Three Stooges,2002-03-31,Cinemaware,Metro3D,Action,Rated E For Everyone,7,5,9496
Norn9: Last Era,2023-08-31,Otomate,Aksys Games,Visual Novel,Rated T For Teen,,,9497
Mana Khemia: Alchemists of Al-Revis,2008-04-01,Gust,NIS America,JRPG,Rated E +10 For Everyone +10,8,50,9498
N.O.V.A. - Near Orbit Vanguard Alliance,2009-12-17,Gameloft,Gameloft,FPS,,7.3,39,9499
Atelier Sophie: The Alchemist of the Mysterious Book,2016-06-07,Gust,Koei Tecmo Games,JRPG,Rated T For Teen,7.8,84,9500
Tharsis,2016-01-11,Choice Provisions,Choice Provisions,Board,Rated M For Mature,4.8,60,9501
Bad Bots,2013-05-17,Point 5 Projects,Digital Tribe,2D Platformer,,4.5,20,9502
SSX Blur,2007-02-27,EA Montreal,EA Sports Big,Skiing,Rated E For Everyone,4,9,9503
Age of Empires II: The Age of Kings,1999-09-30,Ensemble Studios,Microsoft Game Studios,Command RTS,Rated T For Teen,9,1416,9504
Football Manager 2015,2014-11-07,Sports Interactive,Sega,Soccer Management,,6.2,181,9505
Eets,2007-04-25,Klei Entertainment,Klei Entertainment,2D Platformer,Rated E For Everyone,6,,9506
Star Wars: The Force Unleashed II,2010-10-26,LucasArts,LucasArts,Action,Rated T For Teen,6,278,9507
Dorfromantik,2022-09-29,Toukana Interactive,Toukana Interactive,Turn-Based Strategy,Rated E For Everyone,7.8,21,9508
Chrono Cross: The Radical Dreamers Edition,2022-04-07,Square Enix,Square Enix,JRPG,Rated T For Teen,4.8,48,9509
Strangeland,2021-05-25,Wormwood Studios,Wormwood Studios,Point-and-Click,,8,11,9510
Wavetale,2022-12-12,Zoink Games,Thunderful,Action Adventure,,5.9,7,9511
Creed: Rise to Glory,2018-09-25,Survios,Survios,Combat Sport,Rated T For Teen,6.1,35,9512
Astebreed,2014-05-30,Edelweiss,Active Gaming Media,Horizontal Shoot-'Em-Up,,7.4,130,9513
Remnant II,2023-07-25,Gunfire Games,Gearbox Publishing,Third Person Shooter,Rated M For Mature,6.9,331,9514
Mafia: Definitive Edition,2020-05-19,Hangar 13,2K Games,Open-World Action,Rated M For Mature,7.1,1757,9515
Spaceball: Revolution,2009-09-14,Virtual Toys,Virtual Toys,Puzzle,Rated E For Everyone,,,9516
Katamari Amore,2011-10-27,Namco Bandai Games,Namco Bandai Games,Miscellaneous,,,,9517
Chime Sharp,2016-07-19,"Twistplay, Ste Curran",Chilled Mouse,Puzzle,,4.8,17,9518
Dragon Quest VI: Realms of Revelation,2011-02-14,ArtePiazza,Nintendo,JRPG,Rated T For Teen,8.2,50,9519
Tony Hawk's Pro Skater 5,2015-09-29,Robomodo,Activision,Skating,Rated T For Teen,1.5,453,9520
Hydrophobia: Prophecy,2011-05-09,Dark Energy Digital,Dark Energy Digital,Survival,Rated M For Mature,5.8,154,9521
